trait_name	suggested_mapping_type	notes	frequency	example_traits
biosafety level	METPO	Phenotypic quality - biosafety level classification (BSL-1 to BSL-4)	1	biosafety level
cell color	METPO	Phenotypic quality - cell pigmentation	2	cell color; cell color: yellow pigment
cell length	METPO	Phenotypic quality - cell morphology measurement	3	cell length; cell length maximum; cell length minimum
cell shape	METPO	Phenotypic quality - cell morphology (rod, coccus, spiral, filamentous, etc.)	1	cell shape
cell width	METPO	Phenotypic quality - cell morphology measurement	3	cell width; cell width maximum; cell width minimum
coding density	METPO	Genomic quality - percentage of genome that codes for proteins	1	coding density
estimated gene count	METPO	Genomic quality - predicted number of genes in genome	1	estimated gene count
estimated genome size	METPO	Genomic quality - predicted genome size in base pairs	1	estimated genome size
flagellum arrangement	METPO	Phenotypic quality - flagellar arrangement (peritrichous, monotrichous, amphitrichous, lophotrichous, etc.)	1	flagellum arrangement
GC percentage	METPO	Genomic quality - GC content percentage (key taxonomic marker)	1	GC percentage
gene count	METPO	Genomic quality - total number of genes in genome	1	gene count
genome size	METPO	Genomic quality - total genome size in base pairs	1	genome size
growth: selective media	METPO	Phenotypic quality - ability to grow on selective/differential media	3	growth: MacConkey agar; growth: blood agar; growth: bile acid susceptible
growth: temperature	METPO	Phenotypic quality - growth at specific temperature	1	growth: 42 degrees Celsius
growth: salinity	METPO	Phenotypic quality - growth at specific salinity	1	growth: 6.5% NaCl
indole test	METPO	Phenotypic quality - indole production test (tryptophanase activity)	1	indole test
methyl red test	METPO	Phenotypic quality - methyl red test result (mixed acid fermentation)	1	methyl red test
oxygen preference	METPO	Phenotypic quality - oxygen requirement classification (aerobic, anaerobic, facultative, microaerophilic)	1	oxygen preference
pH growth	METPO	Environmental quality - pH range for growth	1	pH growth
pH maximum	METPO	Environmental quality - maximum pH for growth	1	pH maximum
pH minimum	METPO	Environmental quality - minimum pH for growth	1	pH minimum
pH preference	METPO	Environmental quality - optimal pH for growth	1	pH preference
presence of hemolysis	METPO	Phenotypic quality - hemolytic activity (alpha, beta, gamma hemolysis)	1	presence of hemolysis
salinity growth	METPO	Environmental quality - salinity range for growth	1	salinity growth
salinity maximum	METPO	Environmental quality - maximum salinity for growth	1	salinity maximum
salinity minimum	METPO	Environmental quality - minimum salinity for growth	1	salinity minimum
salinity preference	METPO	Environmental quality - optimal salinity for growth	1	salinity preference
temperature growth	METPO	Environmental quality - temperature range for growth	1	temperature growth
temperature maximum	METPO	Environmental quality - maximum temperature for growth	1	temperature maximum
temperature minimum	METPO	Environmental quality - minimum temperature for growth	1	temperature minimum
temperature preference	METPO	Environmental quality - optimal temperature for growth	1	temperature preference
assimilation	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "assimilates" + ChEBI lookup	266	assimilation: glucose; assimilation: acetate; assimilation: glycerol
energy source	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs new METPO predicate for "uses as energy source" + ChEBI lookup	97	energy source: acetate; energy source: glucose; energy source: citrate
nitrogen source	METPO_PREDICATE_NEEDED	Chemical metabolic trait - needs METPO predicate for "uses as nitrogen source" (possibly METPO:2000014) + ChEBI lookup	57	nitrogen source: ammonia; nitrogen source: nitrate; nitrogen source: glutamate
