proposed_id	scope	term_type	label	definition	parent_or_subproperty	domain	range	xrefs	synonyms	priority	traits_addressed	observations
METPO:2000064	quantitative	ObjectProperty	tolerates	A relation between a microbe and a chemical entity indicating that the microbe's growth is not inhibited by the chemical at the concentration tested. Positive form of the chemical-tolerance pair; the negative form is METPO:2000065 'does not tolerate'.		METPO:1000525	METPO:1000526		tolerance|tolerant of	HIGH	1	bile acid + future heavy-metal/antibiotic resistance traits
METPO:2000065	quantitative	ObjectProperty	does not tolerate	A relation between a microbe and a chemical entity indicating that the microbe's growth is inhibited by the chemical at the concentration tested. Negative form of the chemical-tolerance pair; positive form is METPO:2000064 'tolerates'. Equivalent in meaning to 'is susceptible to' and 'is sensitive to'; the canonical label uses the 'does not X' convention so the metatraits pairing logic auto-detects it as the negative member.		METPO:1000525	METPO:1000526		tolerance|is susceptible to|is sensitive to	HIGH	1	bile acid + future heavy-metal/antibiotic susceptibility traits
METPO:2000717	quantitative	DatatypeProperty	has growth temperature optimum value	The optimum growth temperature (Celsius) reported for this organism — the temperature at which growth rate is maximal. Companion to METPO:1000304 'temperature optimum' (class form).		METPO:1000525	xsd:decimal	UO:0000027	temperature optimum	CRITICAL	1	85311
METPO:2000718	quantitative	DatatypeProperty	has growth pH optimum value	The optimum growth pH reported for this organism — the pH at which growth rate is maximal, on the pH scale (0-14). Companion to METPO:1000331 'pH optimum' (class form).		METPO:1000525	xsd:decimal	PATO:0001842	pH optimum	HIGH	1	5479
METPO:2000719	quantitative	DatatypeProperty	has growth salinity optimum value	The optimum growth salinity (% NaCl w/v) reported for this organism — the salinity at which growth rate is maximal. Companion to METPO:1000333 'NaCl optimum' (class form).		METPO:1000525	xsd:decimal	UO:0000187|CHEBI:26710	salinity optimum|NaCl concentration optimum	CRITICAL	1	85311
METPO:1007022	quantitative	Class	pH minimum tolerance	An environmental quality (class form) that describes the minimum pH value supporting growth. Companion to datatype property METPO:2000705.	METPO:1000332					HIGH		
METPO:1007023	quantitative	Class	pH maximum tolerance	An environmental quality (class form) that describes the maximum pH value supporting growth. Companion to datatype property METPO:2000706.	METPO:1000332					HIGH		
METPO:1007026	quantitative	Class	temperature minimum tolerance	An environmental quality (class form) that describes the minimum temperature supporting growth. Companion to datatype property METPO:2000702.	METPO:1000306					HIGH		
METPO:1007027	quantitative	Class	temperature maximum tolerance	An environmental quality (class form) that describes the maximum temperature supporting growth. Companion to datatype property METPO:2000703.	METPO:1000306					HIGH		
METPO:1007030	quantitative	Class	salinity minimum tolerance	An environmental quality (class form) that describes the minimum salinity/NaCl concentration supporting growth. Companion to datatype property METPO:2000708.	METPO:1000334					HIGH		
METPO:1007031	quantitative	Class	salinity maximum tolerance	An environmental quality (class form) that describes the maximum salinity/NaCl concentration supporting growth. Companion to datatype property METPO:2000709.	METPO:1000334					HIGH		
