subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
gram positive	gram positive	METPO:1000698	gram positive	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000606	
gram negative	gram negative	METPO:1000699	gram negative	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000607	
sporulation	sporulation	METPO:1000870	sporulation	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED label from endospore-forming	
obligate aerobic	obligate aerobic	METPO:1000606	obligately aerobic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000616	
obligate anaerobic	obligate anaerobic	METPO:1000607	obligately anaerobic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000870	
presence of motility	presence of motility	METPO:1000702	motile	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1002005	
psychrophilic	psychrophilic	METPO:1000614	psychrophilic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000660	
thermophilic	thermophilic	METPO:1000616	thermophilic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000656	
voges-proskauer test	voges-proskauer test	METPO:1005016	Voges-Proskauer test	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	kg_review_lit_check	metatraits	"biolink:has_phenotype; METPO:1005017 confirmed in metpo.owl (label ""Voges-Proskauer test positive""); prior kgmicrobe.trait:voges_proskauer_test_positive was incorrect; lit-audit: was METPO:1005017 'Voges-Proskauer test positive' (a positive outcome); subject is the assay itself — METPO:1005016 is the test concept"	2026-05-02
growth: MacConkey agar	growth: macconkey agar	kgmicrobe.medium:macconkey_agar	MacConkey agar	kgmicrobe.medium	skos:closeMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	METPO:2000517 grows in; selective/differential medium for Gram-negative enteric bacteria; not in MediaDive catalog so emitted as kgmicrobe.medium:* placeholder	2026-05-05
growth: blood agar	growth: blood agar	kgmicrobe.medium:blood_agar	blood agar	kgmicrobe.medium	skos:closeMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	METPO:2000517 grows in; generic blood agar (specific Columbia/Heart Infusion variants live as mediadive.medium:* nodes when present); placeholder until a generic blood agar medium IRI is available	2026-05-05
growth: bile acid susceptible	growth: bile acid susceptible	CHEBI:3098	bile acid	CHEBI	skos:closeMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	METPO:2000065 does not tolerate; routes the susceptibility-to-bile-acid trait through the new chemical-tolerance predicate pair (organism --METPO:2000065--> CHEBI:3098 bile acid). Supersedes kgmicrobe.trait:bile_susceptible (placeholder for the now-removed proposal classes METPO:1007051/1007056). For majority=false rows the metatraits transform tries _get_negative_predicate(METPO:2000065) which is NOT METPO:2000064 here (because 2000065 is the negative-pair member, not the positive); the row is silently dropped, matching the prior behaviour of the kgmicrobe.trait:bile_susceptible encoding.	2026-05-05
