# kgm_retracted_groundings.tsv
# Superseded chemical/ingredient groundings retracted during consolidation.
#
# WHY: consolidate_chemical_mappings.py seeds each run from its own prior
# output (load_existing_unified), which is additive — a corrected upstream
# grounding adds the right row but cannot remove the superseded one, so both
# persist. apply_retractions() drops the listed stale objects, but only when
# their sole contributing source is culturebotai_reviewed (attribution
# unambiguous); an object that has gained another source is left in place and
# reported for manual review.
#
# PROVENANCE: analysis by culturebotai-claw workspace/reports/propagation_2026-07-19.md
# 161 name->object rows spanning 16 unique stale objects. Verified: after
# dropping these objects, all 161 names still resolve to their now_asserted
# grounding (zero orphans).
#
# Only stale_object (the CURIE dropped) is required; other columns document
# provenance. Lines starting with # are ignored by the reader.
#
# 2026-08-14 (#784): the cobalamin row used to read
#   kgm.name:cobalamin  COBALAMIN  CHEBI:30411  Cobalamine  CHEBI:28911
# i.e. it retracted CHEBI:30411 in favour of CHEBI:28911. That is backwards.
# CHEBI:30411 "cobalamin" is defined as the oxidation state being *unspecified*
# and is the direct parent of CHEBI:28911 "cob(III)alamin"; the source media
# list the bare vitamer name alongside Biotin and Thiamine. The +3 evidence was
# circular — AUTO_BACKFILL_CHEBI_CHEMISTRY had copied the formula, InChI and
# SMILES out of CHEBI:28911 while the record was already mapped there, and a
# formula cannot select an oxidation state in any case (ChEBI records the same
# C62H88CoN13O14P for the +1, +2 and +3 forms, which differ only in the separate
# charge field). Upstream resolved this in CultureBotAI/MediaIngredientMech#362
# and UNIFIED_INGREDIENT_MAPPING.tsv now carries CHEBI:30411 in every column.
#
# The row is now name-level. CHEBI:28911 is a real ChEBI term with real xrefs
# (KEGG C05776, PDB-CCD B12); dropping the object would delete those. What needs
# retracting is the four bare-vitamer names that additive re-seeding left on it
# after the regrounding, which had left kgm.name:cobalamine with two exactMatch
# objects. Its ChEBI-legitimate synonyms (Cob(III)alamin, cobalamin(III), ...)
# stay put.
subject_id	subject_label	stale_object	stale_object_label	now_asserted	source	retract_names
kgm.name:glycylglycine	Glycylglycine	CHEBI:15743	Glycylglycine	CHEBI:17201	culturebotai_reviewed
kgm.name:p-aminobenzoic_acid	P-Aminobenzoic acid	CHEBI:194474	4-Aminobenzoic acid	CHEBI:30753	culturebotai_reviewed
kgm.name:paba	PABA	CHEBI:194474	4-Aminobenzoic acid	CHEBI:30753	culturebotai_reviewed
kgm.name:para-aminobenzoic_acid	Para-aminobenzoic acid	CHEBI:194474	4-Aminobenzoic acid	CHEBI:30753	culturebotai_reviewed
kgm.name:p--aminobenzoic_acid	p--Aminobenzoic acid	CHEBI:194474	4-Aminobenzoic acid	CHEBI:30753	culturebotai_reviewed
kgm.name:cobalamine	Cobalamine	CHEBI:28911	cob(III)alamin	CHEBI:30411	culturebotai_reviewed	Cobalamine|COBALAMIN|Cbl|Cobalamin (B12)
kgm.name:tricine	Tricine	CHEBI:35920	Tricine	CHEBI:46760	culturebotai_reviewed
kgm.name:zncl_6h_o	ZnCl .6H O	CHEBI:86469	ZnCl .6H O	CHEBI:49976	culturebotai_reviewed
kgm.name:pyridoxamine2hcl	Pyridoxamine.2HCl	CHEBI:8668	Pyridoxamine.2HCl	CHEBI:131532	culturebotai_reviewed
kgm.name:malt_extract	Malt extract	FOODON:00001264	Malt extract	FOODON:03301056|kgmicrobe.ingredient:yeast_extract_malt_extract_agar	culturebotai_reviewed
kgm.name:bacto_malt_extract_difco	Bacto Malt Extract (Difco)	FOODON:00001264	Malt extract	FOODON:03301056	culturebotai_reviewed
kgm.name:malt_extract_agar_nissui	Malt Extract Agar (Nissui)	FOODON:00001264	Malt extract	kgmicrobe.ingredient:malt_extract_agar_~28nissui~29	culturebotai_reviewed
kgm.name:malt_extract_bd--difco	Malt extract (BD--Difco)	FOODON:00001264	Malt extract	FOODON:03301056	culturebotai_reviewed
kgm.name:malt_extract_bd-difco	Malt extract (BD-Difco)	FOODON:00001264	Malt extract	FOODON:03301056	culturebotai_reviewed
kgm.name:malt_extract_agar	Malt extract agar	FOODON:00001264	Malt extract	CHEBI:2509	culturebotai_reviewed
kgm.name:malt_extract_agar_oxoid	Malt extract agar (Oxoid)	FOODON:00001264	Malt extract	kgmicrobe.ingredient:malt_extract_agar_~28oxoid~29	culturebotai_reviewed
kgm.name:malt_extract_broth	Malt extract broth	FOODON:00001264	Malt extract	kgmicrobe.ingredient:malt_extract_broth	culturebotai_reviewed
kgm.name:malt_extract_powder	Malt extract powder	FOODON:00001264	Malt extract	FOODON:03301056	culturebotai_reviewed
kgm.name:yeast_extract-malt_extract_agar	Yeast extract-malt extract agar	FOODON:00001264	Malt extract	kgmicrobe.ingredient:yeast_extract_malt_extract_agar	culturebotai_reviewed
kgm.name:potato_flour	Potato flour	FOODON:00002316	Potato flour	FOODON:03302378|FOODON:03307543	culturebotai_reviewed
kgm.name:yeast_extract	Yeast extract	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:bacto_yeast_extract_difco	Bacto Yeast  Extract (Difco)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:bacto_yeast_extract	Bacto yeast extract	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:bacto-yeast_extract	Bacto-yeast extract	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:difco_bacto-yeast_extract	Difco Bacto-yeast extract	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:dried_yeast_extract_s_wako	Dried yeast extract S (Wako)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:liquid_yeast_extract_flow	Liquid yeast extract (Flow)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_bd_211928	Yeast Extract (BD 211928)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_bd_212750	Yeast Extract (BD 212750)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_hardy_c7340	Yeast Extract (Hardy C7340)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extractdifco	Yeast Extract(Difco)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_bbl	Yeast extract (BBL)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_bd_bacto	Yeast extract (BD Bacto)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_bd--difco	Yeast extract (BD--Difco)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_bd-bbl	Yeast extract (BD-BBL)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_bd-difco	Yeast extract (BD-Difco)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_difco_or_oxoid	Yeast extract (Difco or Oxoid)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_difco	Yeast extract (Difco)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_oxoid	Yeast extract (OXOID)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
kgm.name:yeast_extract_oxoid_lp0021_bd_212750	Yeast extract (Oxoid LP0021, BD 212750)	FOODON:00002441	Yeast extract	FOODON:03315426	culturebotai_reviewed
