proposed_id	label	definition	definition_source	type	domain	range	synonyms	xrefs	subset	priority	traits_addressed	observations
ID	LABEL	A IAO:0000115	>A IAO:0000119	TYPE	DOMAIN	RANGE	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:inSubset			
METPO:2000064	tolerates	A relation between a microbe and a chemical entity indicating that the microbe's growth is not inhibited by the chemical at the concentration tested. Positive form of the chemical-tolerance pair; the negative form is METPO:2000065 'does not tolerate'.	TODO:add_citation	owl:ObjectProperty	METPO:1000525	METPO:1000526	tolerance|tolerant of		metpo_proposal_2026_04	HIGH	1	bile acid + future heavy-metal/antibiotic resistance traits
METPO:2000065	does not tolerate	A relation between a microbe and a chemical entity indicating that the microbe's growth is inhibited by the chemical at the concentration tested. Negative form of the chemical-tolerance pair; positive form is METPO:2000064 'tolerates'. Equivalent in meaning to 'is susceptible to' and 'is sensitive to'; the canonical label uses the 'does not X' convention so the metatraits pairing logic auto-detects it as the negative member.	TODO:add_citation	owl:ObjectProperty	METPO:1000525	METPO:1000526	tolerance|is susceptible to|is sensitive to		metpo_proposal_2026_04	HIGH	1	bile acid + future heavy-metal/antibiotic susceptibility traits
METPO:2000067	isolated from host with quality	A relation between a microbe and a quality of the host from which the microbe was isolated. Examples: a microbe isolated from a juvenile host has the relation `<microbe> METPO:2000067 PATO:0001190 'juvenile'`; a microbe isolated from a female host has the relation `<microbe> METPO:2000067 PATO:0000383 'female'`. The relation is one-directional: it asserts that the host bore the named quality at isolation time, not that the microbe itself has the quality.	TODO:add_citation	owl:ObjectProperty	METPO:1000525	PATO:0000001	host quality at isolation		metpo_proposal_2026_04	MEDIUM	4	BacDive isolation-source labels: Child, Juvenile, Female, Male
METPO:2000068	isolated from environment with quality	A relation between a microbe and a quality of the environment from which the microbe was isolated. Examples: a microbe isolated from an acidic environment has the relation `<microbe> METPO:2000068 PATO:0001429 'acidic'`; a microbe isolated from an anaerobic environment has `<microbe> METPO:2000068 PATO:0001456 'anaerobic'`. The relation does not by itself entail that the microbe is acidophilic, anaerobic, etc. as a phenotype — it only records the environment's quality at the time of isolation. Microbe phenotype assertions belong on a separate edge (e.g. METPO:1000615 acidophilic via has_phenotype).	TODO:add_citation	owl:ObjectProperty	METPO:1000525	PATO:0000001	environment quality at isolation		metpo_proposal_2026_04	MEDIUM	5	BacDive isolation-source labels: Acidic, Alkaline, Cold, Anoxic-anaerobic, Non-marine-Saline-and-Alkaline
METPO:2000717	has growth temperature optimum value	The optimum growth temperature (Celsius) reported for this organism — the temperature at which growth rate is maximal. Companion to METPO:1000304 'temperature optimum' (class form).	TODO:add_citation	owl:DatatypeProperty	METPO:1000525	xsd:decimal	temperature optimum	UO:0000027	metpo_proposal_2026_04	CRITICAL	1	85311
METPO:2000718	has growth pH optimum value	The optimum growth pH reported for this organism — the pH at which growth rate is maximal, on the pH scale (0-14). Companion to METPO:1000331 'pH optimum' (class form).	TODO:add_citation	owl:DatatypeProperty	METPO:1000525	xsd:decimal	pH optimum	PATO:0001842	metpo_proposal_2026_04	HIGH	1	5479
METPO:2000719	has growth salinity optimum value	The optimum growth salinity (% NaCl w/v) reported for this organism — the salinity at which growth rate is maximal. Companion to METPO:1000333 'NaCl optimum' (class form).	TODO:add_citation	owl:DatatypeProperty	METPO:1000525	xsd:decimal	salinity optimum|NaCl concentration optimum	UO:0000187|CHEBI:26710	metpo_proposal_2026_04	CRITICAL	1	85311
METPO:2000069	has environmental niche	Association between a microbe and an environmental context in which it has been literature-attested to occur, whether as habitat, substrate, or sampled origin.	DOI:10.3390/microorganisms10020293	owl:ObjectProperty	METPO:1000525	owl:Thing	occurs in environment|found in|inhabits	ENVO:00000428	metpo_proposal_2026_08_prego	HIGH		Adjacent to METPO:2000067/2000068 isolation predicates.
METPO:2000802	is nomenclatural type of	A relation between a prokaryotic strain and a taxon name in which the strain is the nomenclatural type on which valid publication of that name is based under the Prokaryotic Code.	PMID:41797679	owl:ObjectProperty	METPO:1000525	owl:Thing	is type strain of|typifies	LPSN:nomenclatural_type	metpo_proposal_2026_08_typestrain	MEDIUM		21,010 of 21,247 MicrobeDecoder rows (98.9%) carry a strain designation byte-identical to the LPSN GSS nomenclatural_type of the same LPSN_ID; a further 233 (1.1%) share a culture-collection number, 4 disagree. Range is owl:Thing following METPO:2000069, as METPO has no taxon-name class.
